PageRank;inDegreeRank;PageRankValue;inDegreeValue;Node id;Url;Type
146;85;0.0009935566370688042;32054;115;http://www.utwente.nl/over-de-website/index.html;disconnected
147;84;0.0009935566370688042;32074;114;http://www.utwente.nl/over-de-website/disclaimer/index.html;disconnected
148;7087;0.000981493753680494;33;11019;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-cw/index.html;disconnected
149;6903;0.000981493753680494;33;11021;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-gzw/index.html;disconnected
150;9854;0.000981493753680494;21;39632;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-cw/Module/index.html;disconnected
151;10240;0.0009814937536804938;21;39634;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-gzw/Mod/index.html;disconnected
152;12072;0.0009686732293658783;17;39646;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-cw/Module/mod2/index.html;tendril
153;12788;0.0009686732293658783;17;39647;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-cw/Module/mod3/index.html;tendril
154;12184;0.0009686732293658783;17;39645;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-cw/Module/mod1/index.html;tendril
155;12601;0.0009686732293658783;17;39666;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-gzw/Mod/mod2/index.html;tendril
156;12414;0.0009686732293658783;17;39671;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-gzw/Mod/mod7/index.html;tendril
157;12695;0.0009686732293658783;17;39668;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-gzw/Mod/mod4/index.html;tendril
158;12651;0.0009686732293658782;17;39651;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-cw/Module/mod7/index.html;tendril
159;12199;0.0009686732293658782;17;39669;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-gzw/Mod/mod5/index.html;tendril
160;12382;0.0009686732293658782;17;39652;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-cw/Module/mod8/index.html;tendril
161;12383;0.0009686732293658782;17;39650;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-cw/Module/mod6/index.html;tendril
162;12637;0.0009686732293658782;17;39665;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-gzw/Mod/mod1/index.html;tendril
163;12092;0.0009686732293658782;17;39670;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-gzw/Mod/mod6/index.html;tendril
164;12657;0.000968673229365878;17;39667;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-gzw/Mod/mod3/index.html;tendril
165;12315;0.000968673229365878;17;39648;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-cw/Module/mod4/index.html;tendril
166;12381;0.000968673229365878;17;39649;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-cw/Module/mod5/index.html;tendril
167;12733;0.000968673229365878;17;39672;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-gzw/Mod/mod8/index.html;tendril
168;101;0.0009605987054019405;26476;434;http://www.utwente.nl/onderwijs/ewi.html;disconnected
169;126;0.000949427808718357;5308;265;http://www.utwente.nl/en/curiousu/index.html;disconnected
170;15;0.0009474155327351951;87935;2445;http://www.ewi.utwente.nl/en/education/index.html;disconnected
171;98630;0.0009474155327351951;3;38490;http://www.utwente.nl/organisatie/structuur/faculteiten/ewi/onderwijs/formulieren-en-downloads/regels-en-richtlijnen/2012-2013/index.html;disconnected
172;4749;0.0009474155327351951;59;5204;http://www.utwente.nl/organisatie/structuur/faculteiten/ewi/onderwijs/index.html;disconnected
173;47752;0.0009474155327351951;7;38489;http://www.utwente.nl/organisatie/structuur/faculteiten/ewi/onderwijs/formulieren-en-downloads/regels-en-richtlijnen/index.html;disconnected
174;97869;0.0009470233469429663;3;45310;http://www.utwente.nl/en/organization/structure/faculties/bms/education/forms-and-downloads/ter-oer-mb/archief/2011-2012/Announcement changes OER and R&R 2011-2012 - lecturers/index.html;tendril
175;86531;0.0009469323986539354;3;45307;http://www.utwente.nl/en/organization/structure/faculties/bms/education/forms-and-downloads/ter-oer-mb/archief/2013-2014/Changes_OER_and_R&R_2013-2014_students_v2/index.html;tendril
176;94827;0.0009457577008165724;3;200233;http://www.utwente.nl/en/organization/structure/faculties/bms/education/forms-and-downloads/ter-oer-mb/archief/2011-2012/index.html;tendril
177;106256;0.0009457577008165724;2;200234;http://www.utwente.nl/en/organization/structure/faculties/bms/education/forms-and-downloads/ter-oer-mb/archief/2011-2012/changes_OER_and_RR_2011-2012_students/index.html;tendril
178;118165;0.0009456615590227168;2;45309;http://www.utwente.nl/en/organization/structure/faculties/bms/education/forms-and-downloads/ter-oer-mb/archief/2012-2013/Changes OER and RR 2012-2013 students/index.html;tendril
179;116544;0.0009456615590227168;2;45308;http://www.utwente.nl/en/organization/structure/faculties/bms/education/forms-and-downloads/ter-oer-mb/archief/2012-2013/changes OER and R&R 2012-2013 - lecturers/index.html;tendril
180;359;0.0009448454224972957;788;1210;http://www.utwente.nl/mesaplus/headerlinks/aboutus/index.html;disconnected
181;209;0.0009448454224972957;1206;1215;http://www.utwente.nl/mesaplus/industry/index.html;disconnected
182;210;0.0009448454224972957;1205;1214;http://www.utwente.nl/mesaplus/scientists/index.html;disconnected
183;436;0.0009448454224972957;672;1240;http://www.utwente.nl/mesaplus/news/index.html;disconnected
184;434;0.0009448454224972957;675;1244;http://www.utwente.nl/mesaplus/events/index.html;disconnected
185;212;0.0009448454224972957;1205;1217;http://www.utwente.nl/mesaplus/students/index.html;disconnected
186;211;0.0009448454224972957;1205;1216;http://www.utwente.nl/mesaplus/public/index.html;disconnected
187;437;0.0009448454224972957;671;7055;http://www.utwente.nl/mesaplus/archive/index.html;disconnected
188;118915;0.0009444950903845271;2;200228;http://www.utwente.nl/en/organization/structure/faculties/bms/education/forms-and-downloads/ter-oer-mb/archief/2013-2014/Changes_OER_and_R&R_2013-2014_lecturers/index.html;tendril
189;93845;0.0009444950903845271;3;200227;http://www.utwente.nl/en/organization/structure/faculties/bms/education/forms-and-downloads/ter-oer-mb/archief/2013-2014/index.html;tendril
190;94485;0.0009443977342344397;3;200230;http://www.utwente.nl/en/organization/structure/faculties/bms/education/forms-and-downloads/ter-oer-mb/archief/2012-2013/index.html;tendril
191;31384;0.0009254986885837601;9;30705;http://www.utwente.nl/en/education/post-graduate/tgs/programmes/ctit/wireless-sensor-systems/structure/index.html;disconnected
192;30542;0.0009254986885837601;9;30708;http://www.utwente.nl/en/education/post-graduate/tgs/programmes/ctit/wireless-sensor-systems/eligibility-admission/index.html;disconnected
193;30397;0.0009254986885837601;9;30707;http://www.utwente.nl/en/education/post-graduate/tgs/programmes/ctit/wireless-sensor-systems/research/index.html;disconnected
194;29296;0.0009254986885837601;9;30706;http://www.utwente.nl/en/education/post-graduate/tgs/programmes/ctit/wireless-sensor-systems/programme-leader/index.html;disconnected
195;33760;0.0009254986885837601;9;30709;http://www.utwente.nl/en/education/post-graduate/tgs/programmes/ctit/wireless-sensor-systems/contact/index.html;disconnected
196;15592;0.0009254986885837601;14;7459;http://www.utwente.nl/en/education/post-graduate/tgs/programmes/ctit/wireless-sensor-systems/index.html;disconnected
197;94;0.0009250706634971775;28022;432;http://www.utwente.nl/bms.1.html;disconnected
198;97;0.0009237523462305028;26806;435;http://bpe.tnw.utwente.nl/index.html;disconnected
199;355;0.0009229996078559818;811;11028;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/archive/mb/index.html;disconnected
200;356;0.0009229996078559817;799;39707;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/archive/mb/evaluations_2011_2012/index.html;disconnected
201;358;0.0009229996078559817;799;39709;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/archive/mb/evaluations_2013_2014/index.html;disconnected
202;357;0.0009229996078559817;799;39708;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/archive/mb/evaluations_2012_2013/index.html;disconnected
203;140883;0.0009131725459493817;1;38492;http://www.utwente.nl/repository/utwente/ws2013/pages/comment/comment.shtml@url=https%3A%2F%2Fwww.utwente.nl%2Forganisatie%2Fstructuur%2Ffaculteiten%2Fewi%2Fonderwijs%2Fformulieren-en-downloads%2Fregels-en-richtlijnen%2F2012-2013%2Fret_inf_2012_nl%2F.html;disconnected
204;97447;0.0009131725459493817;3;10569;http://www.utwente.nl/organisatie/structuur/faculteiten/ewi/onderwijs/formulieren-en-downloads/regels-en-richtlijnen/2012-2013/ret_inf_2012_nl/index.html;tendril
205;153476;0.0009131725459493817;1;38493;http://www.utwente.nl/repository/utwente/ws2013/pages/comment/comment.shtml@url=https%3A%2F%2Fwww.utwente.nl%2Forganisatie%2Fstructuur%2Ffaculteiten%2Fewi%2Fonderwijs%2Fformulieren-en-downloads%2Fregels-en-richtlijnen%2F2012-2013%2Fret_inf_2012_en%2F.html;disconnected
206;111246;0.0009131725459493817;2;10570;http://www.utwente.nl/organisatie/structuur/faculteiten/ewi/onderwijs/formulieren-en-downloads/regels-en-richtlijnen/2012-2013/ret_inf_2012_en/index.html;tendril
207;1492;0.000911887490830432;268;1364;http://www.utwente.nl/en/education/post-graduate/tgs/why-twente-graduate-school/index.html;disconnected
208;160331;0.000911887490830432;1;191178;http://www.utwente.nl/repository/utwente/ws2013/pages/comment/comment.shtml@url=https%3A%2F%2Fwww.utwente.nl%2Forganisatie%2Fstructuur%2Ffaculteiten%2Fbms%2Fonderwijs%2Fdownloads-en-formulieren%2FGW%20-%20Archief%2F2010-2011%2Fbachelor%2Fgedragsregels%2F.html;disconnected
209;1493;0.000911887490830432;268;1371;http://www.utwente.nl/en/education/post-graduate/tgs/contact/index.html;disconnected
210;1491;0.000911887490830432;268;1370;http://www.utwente.nl/en/education/post-graduate/tgs/rules-regulations/index.html;disconnected
211;116920;0.000911887490830432;2;191177;http://www.utwente.nl/organisatie/structuur/faculteiten/bms/onderwijs/downloads-en-formulieren/GW - Archief/2010-2011/bachelor/index.html;disconnected
212;38719;0.000911887490830432;8;7480;http://www.utwente.nl/en/education/post-graduate/tgs/fees-funds/bridging-fund/index.html;disconnected
213;117950;0.000911887490830432;2;191176;http://www.utwente.nl/organisatie/structuur/faculteiten/bms/onderwijs/downloads-en-formulieren/GW - Archief/2010-2011/index.html;disconnected
214;11448;0.000911887490830432;18;11672;http://www.utwente.nl/bms/onderwijs/regelgeving/onderwijsbeleid/toetsbeleid/index.html;disconnected
215;1487;0.000911887490830432;271;1369;http://www.utwente.nl/en/education/post-graduate/tgs/prodoc/index.html;disconnected
